run,solution,fitness,success,iterations,final_temperature,elapsed_seconds
1,5 7 1 4 2 8 6 3,28,True,2812,5.3231316643613735e-11,0.07921260000148322
2,1 6 8 3 7 4 2 5,28,True,856,0.018353824536161283,0.024162399997294415
3,4 6 8 3 1 7 5 2,28,True,823,0.02557202696911629,0.022761200001696125
4,8 2 4 1 7 5 3 6,28,True,663,0.12768327636155938,0.01835949999804143
5,5 3 1 7 2 8 6 4,28,True,777,0.04060188551557327,0.021694499999284744
6,3 7 2 8 5 1 4 6,28,True,1273,0.00027771716464878226,0.03541369999948074
7,6 3 1 8 5 2 4 7,28,True,956,0.006718093366289151,0.026687999998102896
8,5 3 1 6 8 2 4 7,28,True,917,0.009941992838152823,0.025195099999109516
9,4 8 5 3 1 7 2 6,28,True,766,0.04534809645678445,0.021389000001363456
10,4 2 7 5 1 8 6 3,28,True,714,0.07647666530203479,0.020167899998341454
11,1 7 5 8 2 4 6 3,28,True,559,0.363139741451819,0.015691900000092573
12,4 6 8 3 1 7 5 2,28,True,789,0.03598889708415438,0.022055099998397054
13,5 2 4 7 3 8 6 1,28,True,676,0.11204475929265552,0.018745599998510443
14,7 3 8 2 5 1 6 4,28,True,676,0.11204475929265552,0.018788500001392094
15,2 6 8 3 1 4 7 5,28,True,659,0.13292088977296435,0.01833230000192998
16,5 8 4 1 3 6 2 7,28,True,2136,4.750897496649175e-08,0.05990920000112965
17,1 5 8 6 3 7 2 4,28,True,589,0.26861460234403395,0.01665779999893857
18,3 7 2 8 5 1 4 6,28,True,652,0.14260898130313113,0.018365199997788295
19,5 3 1 7 2 8 6 4,28,True,621,0.1947403046505629,0.017083499998989282
20,4 2 5 8 6 1 3 7,28,True,1365,0.00011016423567862336,0.03816809999989346
21,5 2 6 1 7 4 8 3,28,True,637,0.16581314574010533,0.01785549999840441
22,4 1 5 8 2 7 3 6,28,True,2711,1.4689687398574558e-10,0.07608590000018012
23,3 6 8 1 4 7 5 2,28,True,1747,2.3696541302297473e-06,0.05811810000159312
24,6 2 7 1 4 8 5 3,28,True,1496,2.952916169531177e-05,0.050031499999022344
25,4 1 5 8 2 7 3 6,28,True,791,0.035272718032179705,0.022147499999846332
26,4 2 7 3 6 8 5 1,28,True,1611,9.296050978027745e-06,0.046242500000516884
27,4 6 8 3 1 7 5 2,28,True,2095,7.173526085035527e-08,0.05830430000060005
28,6 4 1 5 8 2 7 3,28,True,1060,0.0023621434781036415,0.029477500000211876
29,8 2 5 3 1 7 4 6,28,True,658,0.1342635250231963,0.01832079999803682
30,3 6 4 2 8 5 7 1,28,True,1055,0.002483878226015119,0.029524499997933162
31,5 7 1 3 8 6 4 2,28,True,2530,9.058208892894696e-10,0.07099970000126632
32,5 7 1 4 2 8 6 3,28,True,1054,0.002508967905065777,0.029621099998621503
33,5 3 1 7 2 8 6 4,28,True,971,0.0057779523269372015,0.027147499997226987
34,6 3 1 8 5 2 4 7,28,True,1223,0.00045903203246001293,0.03398630000083358
35,7 1 3 8 6 4 2 5,28,True,522,0.5267100194847122,0.014589700000215089
36,6 3 5 8 1 4 2 7,28,True,1776,1.7705394393252768e-06,0.05029840000133845
37,3 6 8 1 4 7 5 2,28,True,1448,4.783676222373445e-05,0.04005450000113342
