initial_temperature,alpha,mean_iterations,std_iterations,mean_seconds,success_rate,best_fitness,worst_fitness
10.0,0.95,803.26,1436.3375677342874,0.023436493999888626,0.98,28,27
10.0,0.97,1313.08,2253.9915287589643,0.0382845610000004,0.95,28,27
10.0,0.99,1086.07,1399.8731490511357,0.03291415399984544,0.98,28,27
10.0,0.995,1499.71,1827.3425938927123,0.04421112800007904,0.96,28,27
50.0,0.95,801.48,1149.827589008215,0.023677211999965947,0.99,28,27
50.0,0.97,870.59,1507.1505397251926,0.025124754000098618,0.98,28,27
50.0,0.99,1300.23,1425.203829866685,0.037640451999996,0.98,28,27
50.0,0.995,1676.23,1213.0154333375779,0.04821814800001448,0.99,28,27
100.0,0.95,985.82,1536.7593239665018,0.02853815199992823,0.98,28,27
100.0,0.97,1078.04,1698.9057257689446,0.030979129999941506,0.97,28,27
100.0,0.99,1330.0,1386.96050936768,0.03823197400002755,0.98,28,27
100.0,0.995,1692.37,890.8643363372314,0.04888958499983346,1.0,28,28
500.0,0.95,990.28,1505.9620843819275,0.028972773999994386,0.98,28,27
500.0,0.97,950.7,1168.4545045884024,0.027545458999939,0.99,28,27
500.0,0.99,1744.18,2053.447012693387,0.050465056000084586,0.95,28,27
500.0,0.995,2193.38,1396.1606429813514,0.06282613499986837,0.98,28,27
