number,solution,fitness,restart,iterations,elapsed_seconds,final_temperature
1,3 6 8 2 4 1 7 5,28,1,619,0.0676512999998522,0.1986943216514263
2,4 2 5 8 6 1 3 7,28,2,727,0.07877600000028906,0.06710988157139126
3,3 6 2 5 8 1 7 4,28,3,1166,0.12532789999931992,0.0008140234213693952
4,2 7 3 6 8 5 1 4,28,4,1069,0.11451160000069649,0.0021578588082786718
5,6 2 7 1 4 8 5 3,28,5,1895,0.20301610000024084,5.354189799789059e-07
6,5 7 1 3 8 6 4 2,28,6,586,0.06296079999992799,0.276836936185685
7,2 5 7 1 3 8 6 4,28,7,773,0.08301010000104725,0.04226738930091254
8,3 6 8 1 5 7 2 4,28,8,590,0.06292060000123456,0.2659284563205936
9,8 2 4 1 7 5 3 6,28,9,1224,0.13214070000140055,0.0004544417121354128
10,7 4 2 5 8 1 3 6,28,10,618,0.06599509999978181,0.20070133500144072
11,5 7 1 4 2 8 6 3,28,11,676,0.07534950000081153,0.11204475929265552
12,2 8 6 1 3 5 7 4,28,12,784,0.10248820000015257,0.03784361054875257
13,4 2 8 6 1 3 5 7,28,13,1894,0.2060682999999699,5.408272525039454e-07
14,3 5 8 4 1 7 2 6,28,14,693,0.07529389999945124,0.09444736720008444
15,2 5 7 4 1 8 6 3,28,15,763,0.0866463999991538,0.046736208588058374
16,5 3 1 6 8 2 4 7,28,16,536,0.05855650000012247,0.4575771239708107
17,2 6 8 3 1 4 7 5,28,17,666,0.07296230000065407,0.12389095537034471
18,6 3 7 2 8 5 1 4,28,18,1579,0.17219440000008035,1.2822487062005179e-05
19,5 1 8 4 2 7 3 6,28,19,1122,0.1207708999991155,0.0012667424906873666
20,6 3 7 4 1 8 2 5,28,20,802,0.08701230000042415,0.031581013785891725
21,5 7 4 1 3 8 6 2,28,21,806,0.08761340000091877,0.030336595834482585
22,5 2 4 6 8 3 1 7,28,23,538,0.05896279999979015,0.44847133920379156
23,2 4 6 8 3 1 7 5,28,24,679,0.0743875999996817,0.10871691789690435
24,3 6 2 7 5 1 8 4,28,26,657,0.07131149999986519,0.13561972224565283
25,3 7 2 8 6 4 1 5,28,28,927,0.09992570000031264,0.008991360112691322
26,1 6 8 3 7 4 2 5,28,29,979,0.10491489999913028,0.005331574854338757
27,5 7 2 4 8 1 3 6,28,30,2123,0.22857909999947879,5.4139984936346777e-08
28,7 4 2 8 6 1 3 5,28,36,900,0.09768560000156867,0.011794380589564411
29,4 1 5 8 2 7 3 6,28,37,704,0.07609500000035041,0.08456234086825555
30,4 1 5 8 6 3 7 2,28,39,1302,0.14106979999996838,0.0002075025155424635
31,4 8 1 5 7 2 6 3,28,40,652,0.07086659999913536,0.14260898130313113
32,7 2 6 3 1 4 8 5,28,42,641,0.06907540000065637,0.15927944620349366
33,7 5 3 1 6 8 2 4,28,43,1582,0.1704023000002053,1.2441646373776561e-05
34,3 5 2 8 1 7 4 6,28,44,2307,0.24887149999995017,8.519104323000459e-09
35,3 6 2 7 1 4 8 5,28,45,1726,0.18582880000030855,2.926482122240898e-06
36,6 8 2 4 1 7 5 3,28,52,780,0.08572589999857883,0.03939596891387523
37,6 3 7 2 4 8 1 5,28,54,634,0.06894399999873713,0.17088871135609265
38,6 4 1 5 8 2 7 3,28,55,700,0.07578589999866381,0.08803111816824594
39,5 3 8 4 7 1 6 2,28,56,1093,0.11710000000130094,0.0016953824966128676
40,5 2 8 1 4 7 3 6,28,57,965,0.10469689999990806,0.006137094160310572
41,6 3 1 8 4 2 7 5,28,62,569,0.06287809999957972,0.3284170728923567
42,4 7 1 8 5 2 6 3,28,64,715,0.07714089999899443,0.07571189864901444
43,4 8 5 3 1 7 2 6,28,65,1553,0.16948609999963082,1.6651647549694137e-05
44,5 3 1 7 2 8 6 4,28,66,1379,0.15051209999910498,9.57047184626989e-05
45,4 8 1 3 6 2 7 5,28,68,530,0.059164700000110315,0.4860188759815446
46,4 6 8 3 1 7 5 2,28,70,607,0.06729139999879408,0.2241625821825392
47,5 8 4 1 7 2 6 3,28,71,948,0.10227849999864702,0.007280554856459198
48,8 4 1 3 6 2 7 5,28,73,958,0.10382010000103037,0.006584403308299997
49,5 2 6 1 7 4 8 3,28,75,642,0.07162120000066352,0.1576866517414587
50,5 8 4 1 3 6 2 7,28,78,1518,0.16450149999946007,2.3671479298406585e-05
51,6 4 2 8 5 7 1 3,28,92,7707,0.8348200000000361,1e-12
52,5 2 4 7 3 8 6 1,28,93,989,0.1099116999994294,0.0048217807298316494
53,1 5 8 6 3 7 2 4,28,94,1189,0.12951710000015737,0.0006460206144192299
54,3 6 4 2 8 5 7 1,28,95,1190,0.12815000000045984,0.0006395604082750375
55,3 5 7 1 4 2 8 6,28,97,838,0.09057009999924048,0.021993435439900812
56,4 2 8 5 7 1 3 6,28,102,660,0.07169030000113708,0.1315916808752347
57,2 6 1 7 4 8 3 5,28,105,602,0.06423200000062934,0.2357149606413976
58,6 1 5 2 8 3 7 4,28,109,785,0.08707250000043132,0.03746517444326505
59,8 2 5 3 1 7 4 6,28,110,3438,0.3736105000007228,1e-12
60,6 2 7 1 3 5 8 4,28,112,1582,0.1736916999998357,1.2441646373776561e-05
61,6 3 5 7 1 4 2 8,28,116,1261,0.14020330000130343,0.00031331442301253887
62,5 1 4 6 8 2 7 3,28,117,555,0.06143270000029588,0.37803586280961027
63,3 6 8 1 4 7 5 2,28,119,632,0.068818800000372,0.17435844439964562
64,5 1 8 6 3 7 2 4,28,125,601,0.06635970000024827,0.23809591983979556
65,1 7 4 6 8 2 5 3,28,135,887,0.09833520000029239,0.013440567553876464
66,7 1 3 8 6 4 2 5,28,141,975,0.10697719999916444,0.005550277951226091
67,4 2 7 3 6 8 1 5,28,143,840,0.09130009999898903,0.021555766074646786
68,8 3 1 6 2 5 7 4,28,146,299,0.03314630000022589,4.953625663766235
69,3 8 4 7 1 6 2 5,28,147,459,0.049866899998960434,0.9920974201040585
70,6 3 1 8 5 2 4 7,28,151,1624,0.17823029999999562,8.157480164089467e-06
71,4 7 3 8 2 5 1 6,28,154,710,0.07869070000015199,0.07961376531434353
72,4 6 8 2 7 1 3 5,28,170,319,0.03463270000065677,4.05160479665409
73,3 1 7 5 8 2 4 6,28,171,2337,0.2566185999985464,6.3015846486571516e-09
74,4 7 5 2 6 1 3 8,28,172,2395,0.2601793000012549,3.5179613285383235e-09
75,7 3 8 2 5 1 6 4,28,176,3055,0.3347532999996474,4.6293444447643214e-12
76,5 7 2 6 3 1 8 4,28,178,898,0.09881889999996929,0.0120338542899341
77,6 4 7 1 8 2 5 3,28,187,746,0.08280949999971199,0.05544407850360551
78,4 2 7 5 1 8 6 3,28,196,1989,0.21837289999893983,2.0816228884750484e-07
79,3 5 2 8 6 4 7 1,28,202,685,0.0761026000000129,0.10235482010399374
80,3 7 2 8 5 1 4 6,28,219,1024,0.11265730000013718,0.0033918705401934147
81,4 6 1 5 2 8 3 7,28,230,777,0.08581949999825156,0.04060188551557327
82,6 3 5 8 1 4 2 7,28,234,1280,0.13823049999882642,0.00025885054568811007
83,6 3 1 7 5 8 2 4,28,254,1803,0.19809859999986656,1.3497578420338306e-06
84,2 7 5 8 1 4 6 3,28,264,579,0.06628640000053565,0.2970145138507073
85,6 4 7 1 3 5 2 8,28,277,723,0.07865359999959765,0.06986275278344249
86,7 3 1 6 8 5 2 4,28,278,1053,0.11554660000001604,0.0025343110152179567
87,4 2 7 3 6 8 5 1,28,335,706,0.0778095999994548,0.08287955028497727
88,4 7 5 3 1 6 8 2,28,377,982,0.1073391999998421,0.0051732217495900415
89,3 6 4 1 8 5 7 2,28,398,1101,0.12011659999916446,0.0015644052037754848
90,7 2 4 1 8 5 3 6,28,413,3567,0.3952169000003778,1e-12
91,5 7 2 6 3 1 4 8,28,418,1197,0.13095050000083575,0.0005961120944464094
92,1 7 5 8 2 4 6 3,28,553,991,0.10704979999900388,0.004725827293308
