run,generations,generation_to_acceptable,final_distance,elapsed_seconds,valid_route,route
1,147,16,515.3429241505015,0.523699299999862,True,16 39 28 27 3 34 31 20 1 22 5 26 8 25 4 18 40 23 33 35 2 32 38 19 37 14 29 13 7 36 17 6 10 11 21 24 15 12 9 30
2,109,19,569.6463816099706,0.38696840000193333,True,14 5 8 26 34 31 20 29 13 18 15 28 3 27 38 35 32 2 33 16 39 10 25 1 22 24 17 30 9 12 11 21 6 23 40 7 36 4 37 19
3,100,14,570.3259441258207,0.3585891000002448,True,37 25 20 26 1 7 18 4 30 6 24 21 11 10 13 29 8 28 22 5 31 3 27 34 14 19 38 35 32 16 2 33 39 23 12 9 17 36 15 40
4,76,16,620.2039182493879,0.2697078000019246,True,37 26 27 3 1 25 8 34 31 7 24 15 28 38 19 4 14 35 2 33 30 16 32 5 20 22 36 18 23 39 12 9 10 11 13 29 6 21 17 40
5,239,13,542.6028440732506,0.8468687999993563,True,16 39 15 14 25 37 19 38 32 35 2 33 21 10 11 24 28 3 27 26 5 22 1 20 31 34 29 13 18 17 36 7 8 4 40 23 6 9 30 12
6,101,21,583.6132197262865,0.3570140000010724,True,12 21 24 17 18 8 5 26 16 39 9 30 13 29 7 36 22 10 1 20 4 23 14 25 19 37 40 6 11 15 28 3 27 31 34 38 32 33 35 2
7,90,17,588.3315493269656,0.31782940000266535,True,22 28 3 27 5 31 20 1 8 26 25 29 4 18 36 13 37 14 34 38 19 40 30 10 11 21 6 12 39 16 32 35 2 33 9 23 24 15 7 17
8,190,67,610.941901255009,0.6750329999995301,True,4 13 29 7 31 34 26 8 40 30 33 2 35 25 19 3 27 28 24 10 9 18 36 1 20 14 5 15 39 21 11 12 16 23 17 6 22 32 38 37
9,182,27,572.0522861514178,0.6443676999988384,True,30 9 21 24 5 26 8 34 20 1 29 13 14 31 28 22 16 33 35 2 32 27 38 3 15 39 12 23 17 18 4 25 19 37 7 36 6 11 10 40
10,121,15,597.7415943872307,0.43085899999641697,True,8 14 38 28 31 34 1 13 29 7 3 27 39 15 11 10 12 24 5 26 22 20 25 37 19 40 36 18 4 23 16 35 32 2 33 17 6 21 30 9
11,83,14,588.325343502636,0.2923829999999725,True,24 27 3 38 28 19 37 14 20 22 10 15 34 31 5 1 8 40 33 12 23 17 6 7 18 4 29 13 36 25 26 2 35 32 16 39 21 11 30 9
12,138,19,547.6257457634566,0.4882656000008865,True,30 9 21 10 23 17 18 1 20 31 34 8 5 26 7 36 40 37 19 25 14 27 3 38 35 32 12 16 15 28 22 11 6 13 29 4 24 39 33 2
13,166,22,585.4693093749454,0.5886452000013378,True,37 19 5 22 1 24 9 11 10 18 36 13 29 4 31 34 20 8 26 28 3 27 35 16 12 30 6 17 15 39 23 2 33 38 32 21 7 14 25 40
14,169,26,574.9174172946113,0.6069478999997955,True,6 13 29 20 26 15 22 3 27 38 33 23 17 4 14 7 36 18 21 24 10 11 39 16 12 32 2 35 28 34 31 5 1 8 25 37 19 40 9 30
15,77,17,605.7698139733589,0.28459339999972144,True,6 22 8 29 13 26 28 3 27 10 40 33 4 36 7 34 20 5 19 14 25 18 17 37 23 30 21 11 39 16 32 35 38 31 1 24 15 9 12 2
16,108,16,532.5089004738738,0.3819067000003997,True,12 16 23 15 24 22 5 26 28 38 27 3 34 31 20 14 4 18 36 7 1 8 25 29 13 17 6 9 30 40 33 39 21 11 10 32 2 35 19 37
17,153,18,586.5709455306538,0.539025699999911,True,9 15 11 10 21 16 12 32 35 33 2 38 14 37 25 8 34 31 28 27 3 22 5 39 24 36 29 20 26 19 4 23 30 6 17 18 13 1 7 40
18,175,21,607.9339342146607,0.6164133999991463,True,17 13 7 36 4 29 26 33 39 5 31 27 3 28 22 14 25 19 37 6 21 10 11 12 32 2 23 20 34 8 1 18 30 9 24 15 38 35 16 40
19,265,22,593.649446967289,0.9368366000016977,True,21 11 3 31 20 8 22 7 36 9 30 10 27 28 26 25 37 19 40 23 16 39 15 5 34 14 4 13 29 1 24 18 17 6 12 2 35 32 38 33
20,173,33,606.2600263124783,0.6182592000004661,True,40 14 5 8 7 36 12 39 10 31 34 20 1 22 24 28 27 38 3 26 15 23 17 13 29 4 11 21 16 35 2 9 30 6 18 25 37 19 32 33
21,85,19,554.7835401279052,0.30247400000007474,True,40 25 1 15 22 28 26 5 8 19 14 13 6 17 36 7 29 4 18 20 34 31 3 27 38 37 23 33 2 35 32 39 11 10 21 24 16 12 9 30
22,208,18,562.5756227686406,0.738461200002348,True,19 37 14 28 27 3 5 24 38 20 34 31 26 4 17 6 21 10 22 1 8 25 18 36 7 13 29 23 39 15 9 12 33 2 32 35 16 11 30 40
23,213,21,559.31249909074,0.761681399999361,True,12 9 30 6 17 14 26 38 3 27 31 8 20 34 5 28 24 22 1 13 29 4 36 7 15 39 23 40 18 21 11 10 2 35 32 16 33 19 25 37
24,80,13,561.1627806268382,0.2850800000014715,True,40 37 36 21 23 17 6 18 7 13 4 8 3 27 20 31 34 5 26 1 29 25 19 14 38 28 22 10 11 24 15 39 16 2 33 12 30 9 32 35
25,123,21,572.1586209741663,0.4377200000017183,True,5 31 22 7 36 13 29 14 37 28 3 27 34 20 1 8 26 30 21 11 10 24 23 18 6 17 4 25 19 38 15 39 12 9 40 33 2 16 32 35
26,220,29,557.45632302529,0.7774769999996352,True,30 11 21 6 17 29 13 1 4 25 19 37 2 32 16 12 9 23 38 14 28 27 3 31 34 20 22 24 39 33 35 5 26 8 18 36 7 10 15 40
